token_lower,total_count,initial_upper_count,all_upper_count,initial_upper_ratio,all_upper_ratio
ecrivez,93,93,0,1.0,0.0
ecu,15,12,0,0.8,0.0
ecureuil,7,7,0,1.0,0.0
ecuries,7,7,0,1.0,0.0
ecus,12,10,0,0.8333333333333334,0.0
ecuyer,100,98,1,0.98,0.01
ed,176,83,1,0.4715909090909091,0.005681818181818182
edam,9,9,0,1.0,0.0
edda,8,8,0,1.0,0.0
eddas,5,5,0,1.0,0.0
eddin,12,12,1,1.0,0.08333333333333333
eddison,9,9,0,1.0,0.0
eddy,5,5,0,1.0,0.0
edelman,9,9,0,1.0,0.0
edelmann,11,11,0,1.0,0.0
eden,133,132,1,0.9924812030075187,0.007518796992481203
edern,404,404,0,1.0,0.0
edesse,13,13,0,1.0,0.0
edgar,339,339,5,1.0,0.014749262536873156
edgard,211,211,4,1.0,0.018957345971563982
edgeworth,5,5,0,1.0,0.0
edgware,5,5,0,1.0,0.0
edimbourg,88,88,0,1.0,0.0
edison,418,418,2,1.0,0.004784688995215311
edith,311,311,2,1.0,0.006430868167202572
editha,19,19,0,1.0,0.0
edma,205,205,5,1.0,0.024390243902439025
edme,429,429,4,1.0,0.009324009324009324
edmond,1711,1711,9,1.0,0.005260081823495032
edmund,176,176,4,1.0,0.022727272727272728
edmée,2650,2650,9,1.0,0.0033962264150943396
edouard,986,986,9,1.0,0.009127789046653144
edred,10,10,0,1.0,0.0
edrisi,7,7,0,1.0,0.0
edriss,6,6,0,1.0,0.0
edward,921,921,2,1.0,0.002171552660152009
edwards,219,219,0,1.0,0.0
edwige,255,255,0,1.0,0.0
edwin,154,154,0,1.0,0.0
ee,20,5,4,0.25,0.2
eeeoys,60,60,0,1.0,0.0
effacez,39,17,0,0.4358974358974359,0.0
effaçons,17,6,0,0.35294117647058826,0.0
effectivement,1514,452,1,0.2985468956406869,0.0006605019815059445
effendi,60,37,0,0.6166666666666667,0.0
efferts,7,7,0,1.0,0.0
effiat,94,94,0,1.0,0.0
effie,12,12,0,1.0,0.0
effingham,20,20,0,1.0,0.0
effisia,8,8,0,1.0,0.0
efflam,59,59,0,1.0,0.0
effossés,5,5,0,1.0,0.0
effraies,125,76,0,0.608,0.0
effranges,27,27,0,1.0,0.0
ega,15,15,0,1.0,0.0
egalement,18,14,1,0.7777777777777778,0.05555555555555555
egalité,40,40,1,1.0,0.025
egards,7,5,0,0.7142857142857143,0.0
egaré,7,7,0,1.0,0.0
egbert,22,22,0,1.0,0.0
eggar,5,5,1,1.0,0.2
egine,6,6,0,1.0,0.0
eginhard,35,35,2,1.0,0.05714285714285714
egiste,7,7,0,1.0,0.0
eglantine,12,12,0,1.0,0.0
eglise,956,911,3,0.952928870292887,0.0031380753138075313
eglises,11,7,0,0.6363636363636364,0.0
eglé,161,161,0,1.0,0.0
egmont,103,103,0,1.0,0.0
ego,122,27,1,0.22131147540983606,0.00819672131147541
egon,13,13,0,1.0,0.0
egoïsme,5,5,0,1.0,0.0
egoïste,18,18,0,1.0,0.0
egra,5,5,0,1.0,0.0
eguisheim,10,10,0,1.0,0.0
egypte,312,312,0,1.0,0.0
egyptian,8,8,0,1.0,0.0
egyptien,55,55,0,1.0,0.0
egyptienne,49,49,0,1.0,0.0
egyptiennes,5,5,1,1.0,0.2
egyptiens,52,52,0,1.0,0.0
egée,5,5,0,1.0,0.0
egérie,19,19,0,1.0,0.0
eh,76268,69338,6,0.909136203912519,7.866995332249437e-05
eha,16,16,0,1.0,0.0
ehbien,6,5,0,0.8333333333333334,0.0
ehh,13,10,0,0.7692307692307693,0.0
ehrenbreitstein,5,5,0,1.0,0.0
ehrenfeld,7,7,0,1.0,0.0
ehrenfels,5,5,0,1.0,0.0
ehrsam,192,192,2,1.0,0.010416666666666666
ei,42,9,7,0.21428571428571427,0.16666666666666666
eichten,21,21,0,1.0,0.0
eick,8,8,0,1.0,0.0
eidiol,104,104,0,1.0,0.0
eiffel,105,105,0,1.0,0.0
eiger,5,5,0,1.0,0.0
einsiedeln,15,15,0,1.0,0.0
eisemberg,9,9,0,1.0,0.0
eisenloeffel,5,5,0,1.0,0.0
eitel,17,17,0,1.0,0.0
ekaterinbourg,29,29,0,1.0,0.0
ekela,5,5,0,1.0,0.0
ekenhead,8,8,0,1.0,0.0
ekime,25,24,0,0.96,0.0
el,1460,657,30,0.45,0.02054794520547945
elaguine,11,11,0,1.0,0.0
elaine,5,5,0,1.0,0.0
elamsk,8,8,0,1.0,0.0
elanchovi,28,28,0,1.0,0.0
elbe,243,243,0,1.0,0.0
elbenheim,5,5,0,1.0,0.0
elberge,44,44,0,1.0,0.0
elbeuf,206,201,0,0.9757281553398058,0.0
elbène,24,24,0,1.0,0.0
elbée,44,44,0,1.0,0.0
elche,14,14,0,1.0,0.0
elchingen,25,25,0,1.0,0.0
elcia,10,10,0,1.0,0.0
elding,25,25,0,1.0,0.0
eldorado,112,102,0,0.9107142857142857,0.0
eldred,7,7,0,1.0,0.0
ele,25,11,0,0.44,0.0
eleanor,23,23,0,1.0,0.0
electeur,9,9,0,1.0,0.0
electeurs,6,6,0,1.0,0.0
electre,11,11,0,1.0,0.0
electric,26,26,0,1.0,0.0
electricité,5,5,0,1.0,0.0
electrics,5,5,0,1.0,0.0
eleison,34,8,0,0.23529411764705882,0.0
elena,65,65,0,1.0,0.0
eleonor,142,142,0,1.0,0.0
eleonora,44,44,1,1.0,0.022727272727272728
elephanta,8,8,0,1.0,0.0
elephas,13,11,0,0.8461538461538461,0.0
eletta,9,9,0,1.0,0.0
eleusis,9,9,0,1.0,0.0
eleuthère,15,15,0,1.0,0.0
elevant,6,5,0,0.8333333333333334,0.0
elevez,10,9,0,0.9,0.0
elevé,31,31,0,1.0,0.0
elevée,22,21,0,0.9545454545454546,0.0
elfes,32,18,0,0.5625,0.0
elfrida,527,527,0,1.0,0.0
elfride,40,40,0,1.0,0.0
elfsnabe,10,10,0,1.0,0.0
elg,13,13,13,1.0,1.0
elgin,253,253,1,1.0,0.003952569169960474
elgor,83,83,0,1.0,0.0
eli,28,28,0,1.0,0.0
eliacin,11,11,0,1.0,0.0
eliane,132,132,0,1.0,0.0
elias,153,152,3,0.9934640522875817,0.0196078431372549
eliburru,11,11,0,1.0,0.0
elie,78,71,0,0.9102564102564102,0.0
elien,5,5,0,1.0,0.0
eliezer,40,40,0,1.0,0.0
eligio,5,5,0,1.0,0.0
eliot,6,6,0,1.0,0.0
elisa,235,235,9,1.0,0.03829787234042553
elisabeth,810,810,1,1.0,0.0012345679012345679
elise,297,297,1,1.0,0.003367003367003367
elissane,150,150,0,1.0,0.0
elixir,10,9,2,0.9,0.2
elizabeth,6,6,0,1.0,0.0
eljonsen,47,47,0,1.0,0.0
ell,68,15,0,0.22058823529411764,0.0
ella,150,141,1,0.94,0.006666666666666667
ellen,2717,2717,18,1.0,0.006624953993375046
ellerey,18,18,0,1.0,0.0
ellesmère,44,44,0,1.0,0.0
elleviou,16,16,0,1.0,0.0
ellio,170,170,5,1.0,0.029411764705882353
elliot,126,126,0,1.0,0.0
ellis,28,28,0,1.0,0.0
ellora,12,12,0,1.0,0.0
ellé,32,28,0,0.875,0.0
elléaw,10,10,0,1.0,0.0
ellénor,53,53,0,1.0,0.0
ellénore,1512,1512,5,1.0,0.0033068783068783067
elme,717,717,2,1.0,0.002789400278940028
elmer,16,16,1,1.0,0.0625
elmina,89,89,0,1.0,0.0
elmire,87,87,0,1.0,0.0
elmont,24,24,0,1.0,0.0
elmoth,48,48,1,1.0,0.020833333333333332
elo,7,7,0,1.0,0.0
eloa,24,24,0,1.0,0.0
elodie,478,478,0,1.0,0.0
elohim,5,5,0,1.0,0.0
eloi,65,65,1,1.0,0.015384615384615385
eloigne,11,10,0,0.9090909090909091,0.0
eloignez,26,26,0,1.0,0.0
eloignons,8,8,0,1.0,0.0
eloïm,7,7,0,1.0,0.0
elpenor,8,8,1,1.0,0.125
elphinstone,71,71,0,1.0,0.0
elphiston,38,38,0,1.0,0.0
elphyre,74,74,0,1.0,0.0
elphège,32,32,1,1.0,0.03125
elphége,9,9,0,1.0,0.0
elpénor,51,51,0,1.0,0.0
elric,18,18,0,1.0,0.0
elsa,338,338,1,1.0,0.0029585798816568047
elsagarray,21,21,1,1.0,0.047619047619047616
elsberger,24,24,0,1.0,0.0
elsdone,63,63,0,1.0,0.0
elsenborn,5,5,0,1.0,0.0
elseneur,22,22,0,1.0,0.0
elsie,218,218,0,1.0,0.0
elson,109,109,0,1.0,0.0
elspeth,13,13,0,1.0,0.0
elssler,13,13,0,1.0,0.0
elster,26,26,0,1.0,0.0
elstir,300,300,0,1.0,0.0
elu,16,16,0,1.0,0.0
elue,5,5,0,1.0,0.0
elus,9,9,0,1.0,0.0
elven,47,47,0,1.0,0.0
elvina,8,8,0,1.0,0.0
elvira,126,126,0,1.0,0.0
elvire,303,303,2,1.0,0.006600660066006601
elwin,16,16,0,1.0,0.0
ely,81,81,0,1.0,0.0
elyanni,39,39,0,1.0,0.0
elys,284,284,0,1.0,0.0
elysée,107,107,0,1.0,0.0
elysées,565,565,0,1.0,0.0
elzéar,19,19,1,1.0,0.05263157894736842
elzévirienne,7,5,5,0.7142857142857143,0.7142857142857143
elzévirs,17,14,0,0.8235294117647058,0.0
elève,9,9,0,1.0,0.0
elégant,6,6,0,1.0,0.0
eléonore,110,110,1,1.0,0.00909090909090909
eléphant,13,13,0,1.0,0.0
ema,12,11,0,0.9166666666666666,0.0
email,14,5,0,0.35714285714285715,0.0
emanuele,5,5,0,1.0,0.0
emavidi,16,16,0,1.0,0.0
embabèh,5,5,0,1.0,0.0
embach,9,9,0,1.0,0.0
embarquez,56,23,0,0.4107142857142857,0.0
embarquons,69,25,0,0.36231884057971014,0.0
embaumée,431,126,1,0.2923433874709977,0.002320185614849188
emberour,5,5,0,1.0,0.0
embleuse,73,73,0,1.0,0.0
embrassez,568,244,0,0.4295774647887324,0.0
embrassons,173,59,0,0.34104046242774566,0.0
embrun,230,183,1,0.7956521739130434,0.004347826086956522
emden,11,11,0,1.0,0.0
emeraude,151,151,1,1.0,0.006622516556291391
emerson,14,14,0,1.0,0.0
emerveillé,5,5,0,1.0,0.0
emery,13,13,0,1.0,0.0
emigrants,5,5,1,1.0,0.2
emil,35,35,0,1.0,0.0
emile,348,348,3,1.0,0.008620689655172414
emilia,205,205,1,1.0,0.004878048780487805
emilie,420,420,4,1.0,0.009523809523809525
emilienne,6,6,0,1.0,0.0
emilio,180,180,0,1.0,0.0
emilius,5,5,0,1.0,0.0
emily,17,17,0,1.0,0.0
eminence,333,333,0,1.0,0.0
emma,2101,2100,3,0.9995240361732508,0.0014278914802475012
emmanuel,2164,2164,7,1.0,0.003234750462107209
emmanuele,10,10,0,1.0,0.0
emmanuelle,793,793,0,1.0,0.0
emmanuèle,22,22,0,1.0,0.0
emmaüs,12,12,0,1.0,0.0
emmeline,1046,1046,4,1.0,0.0038240917782026767
emmenez,692,268,0,0.3872832369942196,0.0
emmenons,88,22,0,0.25,0.0
emmerich,27,27,0,1.0,0.0
emmi,136,119,0,0.875,0.0
emmy,247,239,0,0.9676113360323887,0.0
emmélie,40,40,0,1.0,0.0
emonot,24,24,0,1.0,0.0
emparez,63,24,0,0.38095238095238093,0.0
empereur,9232,2588,8,0.2803292894280763,0.0008665511265164644
empire,7033,2147,7,0.305275131522821,0.0009953078344945257
empoignez,41,22,0,0.5365853658536586,0.0
emportez,439,140,0,0.31890660592255127,0.0
empruntez,27,8,0,0.2962962962962963,0.0
empédocle,35,35,0,1.0,0.0
empêchez,239,51,0,0.21338912133891214,0.0
ems,60,60,0,1.0,0.0
emu,25,23,0,0.92,0.0
emue,16,16,0,1.0,0.0
eméla,7,7,0,1.0,0.0
enbankment,13,13,0,1.0,0.0
encarnacion,208,208,0,1.0,0.0
encelade,20,20,0,1.0,0.0
enchaînons,12,5,0,0.4166666666666667,0.0
encinas,117,117,0,1.0,0.0
encise,8,8,0,1.0,0.0
encke,5,5,0,1.0,0.0
enckhuyse,6,6,0,1.0,0.0
encyclopédie,110,69,0,0.6272727272727273,0.0
encyclopédistes,38,8,0,0.21052631578947367,0.0
end,130,104,7,0.8,0.05384615384615385
enden,8,8,0,1.0,0.0
enderby,5,5,0,1.0,0.0
endicott,32,32,0,1.0,0.0
endor,10,10,0,1.0,0.0
endormeur,98,82,0,0.8367346938775511,0.0
endoume,21,21,0,1.0,0.0
endymion,57,57,0,1.0,0.0
energique,5,5,2,1.0,0.4
enfermez,89,28,0,0.3146067415730337,0.0
enfermons,18,6,0,0.3333333333333333,0.0
enfin,82585,30465,29,0.36889265605134103,0.00035115335714718167
enfoncez,71,29,0,0.4084507042253521,0.0
engadine,8,8,0,1.0,0.0
engel,22,21,0,0.9545454545454546,0.0
engelbert,6,6,0,1.0,0.0
engelbourg,8,8,0,1.0,0.0
engen,9,9,0,1.0,0.0
enghien,518,518,2,1.0,0.003861003861003861
england,32,32,0,1.0,0.0
engler,179,179,1,1.0,0.00558659217877095
english,53,36,1,0.6792452830188679,0.018867924528301886
engoulevent,44,36,0,0.8181818181818182,0.0
enguerrand,461,461,4,1.0,0.008676789587852495
enhardi,240,50,0,0.20833333333333334,0.0
eni,8,7,0,0.875,0.0
enigme,13,12,1,0.9230769230769231,0.07692307692307693
enjalbert,9,9,0,1.0,0.0
enjolras,24,24,0,1.0,0.0
enlevez,312,124,0,0.3974358974358974,0.0
ennamoor,296,296,0,1.0,0.0
ennana,11,11,0,1.0,0.0
enneris,378,378,2,1.0,0.005291005291005291
ennery,33,33,0,1.0,0.0
ennius,11,11,2,1.0,0.18181818181818182
ennoia,7,7,1,1.0,0.14285714285714285
enoch,16,16,0,1.0,0.0
enogat,8,8,0,1.0,0.0
enorme,10,5,0,0.5,0.0
enormément,15,15,0,1.0,0.0
enos,6,6,0,1.0,0.0
enoussi,5,5,0,1.0,0.0
enrichemont,17,17,0,1.0,0.0
enrichissez,17,9,0,0.5294117647058824,0.0
enrique,23,23,0,1.0,0.0
enriqueta,239,239,1,1.0,0.0041841004184100415
ens,23,11,0,0.4782608695652174,0.0
ensenada,6,6,0,1.0,0.0
enta,9,8,0,0.8888888888888888,0.0
entendîtes,22,6,0,0.2727272727272727,0.0
enterrez,23,7,0,0.30434782608695654,0.0
entertenue,5,5,0,1.0,0.0
entommeures,11,10,0,0.9090909090909091,0.0
entragues,635,635,3,1.0,0.004724409448818898
entraigues,44,44,0,1.0,0.0
entrames,6,6,0,1.0,0.0
entraygues,22,22,0,1.0,0.0
entrecasteaux,7,7,0,1.0,0.0
entremetteuse,62,13,11,0.20967741935483872,0.1774193548387097
entremont,29,29,0,1.0,0.0
entretemps,17,6,0,0.35294117647058826,0.0
entrez,2927,1860,3,0.6354629313290058,0.0010249402118209772
entrons,1046,366,1,0.34990439770554493,0.0009560229445506692
entêtard,27,27,1,1.0,0.037037037037037035
enval,47,47,1,1.0,0.02127659574468085
enveloppez,49,17,0,0.3469387755102041,0.0
enver,9,9,0,1.0,0.0
envermeu,5,5,0,1.0,0.0
envoloir,47,40,1,0.851063829787234,0.02127659574468085
envoyez,867,350,0,0.40369088811995385,0.0
envoyons,86,18,0,0.20930232558139536,0.0
enée,15,15,0,1.0,0.0
enéide,17,17,0,1.0,0.0
eon,23,23,0,1.0,0.0
ep,44,38,0,0.8636363636363636,0.0
epaminondas,10,10,0,1.0,0.0
epaphrodite,13,13,0,1.0,0.0
epard,6,6,0,1.0,0.0
epargne,10,9,0,0.9,0.0
epargnez,38,38,0,1.0,0.0
epatant,11,11,0,1.0,0.0
epave,5,5,4,1.0,0.8
ependant,59,16,16,0.2711864406779661,0.2711864406779661
eperdu,23,23,0,1.0,0.0
eperdue,24,24,1,1.0,0.041666666666666664
epernay,26,26,0,1.0,0.0
epernon,125,125,0,1.0,0.0
eperon,7,7,0,1.0,0.0
epervier,16,16,0,1.0,0.0
ephestion,5,5,0,1.0,0.0
ephraïm,17,17,0,1.0,0.0
ephrem,210,210,1,1.0,0.004761904761904762
ephèse,12,12,0,1.0,0.0
epices,22,22,0,1.0,0.0
epicure,6,6,0,1.0,0.0
epilogue,32,32,27,1.0,0.84375
epinal,57,57,0,1.0,0.0
epinay,17,17,0,1.0,0.0
epine,8,8,0,1.0,0.0
epines,63,62,0,0.9841269841269841,0.0
epinettes,7,7,0,1.0,0.0
epiphane,8,8,0,1.0,0.0
epiphanie,42,42,0,1.0,0.0
episode,24,24,23,1.0,0.9583333333333334
epist,10,10,0,1.0,0.0
epitome,14,11,0,0.7857142857142857,0.0
eponine,24,24,19,1.0,0.7916666666666666
epopée,22,22,0,1.0,0.0
epoque,18,8,0,0.4444444444444444,0.0
epoulardeur,23,23,0,1.0,0.0
epouse,42,35,2,0.8333333333333334,0.047619047619047616
epouser,14,14,0,1.0,0.0
epousez,9,9,0,1.0,0.0
epouvantable,5,5,0,1.0,0.0
epouvante,23,21,4,0.9130434782608695,0.17391304347826086
epouvanté,11,11,0,1.0,0.0
epouvantée,13,12,0,0.9230769230769231,0.0
epouvantés,8,8,0,1.0,0.0
epoux,16,16,1,1.0,0.0625
epoï,11,11,0,1.0,0.0
eppes,12,12,1,1.0,0.08333333333333333
eppstein,83,83,0,1.0,0.0
epris,7,5,0,0.7142857142857143,0.0
epsom,42,42,0,1.0,0.0
epte,6,6,0,1.0,0.0
eptingen,6,6,0,1.0,0.0
epuisé,16,15,0,0.9375,0.0
epuisée,13,13,0,1.0,0.0
epée,45,42,0,0.9333333333333333,0.0
epées,19,19,0,1.0,0.0
epître,8,6,0,0.75,0.0
epône,75,75,0,1.0,0.0
equateur,6,6,0,1.0,0.0
equinoxe,125,124,0,0.992,0.0
erard,35,35,0,1.0,0.0
erasme,17,17,1,1.0,0.058823529411764705
erbach,7,7,0,1.0,0.0
erbannes,174,174,0,1.0,0.0
erckmann,12,12,2,1.0,0.16666666666666666
ercolano,43,43,0,1.0,0.0
ercole,15,15,0,1.0,0.0
erda,14,14,0,1.0,0.0
erdre,29,28,0,0.9655172413793104,0.0
erdu,66,65,0,0.9848484848484849,0.0
ereb,5,5,0,1.0,0.0
erfeuil,5,5,0,1.0,0.0
erfurt,29,29,0,1.0,0.0
erfurth,8,8,0,1.0,0.0
ergaste,6,6,5,1.0,0.8333333333333334
ergo,53,24,1,0.4528301886792453,0.018867924528301886
ergopoulos,63,63,0,1.0,0.0
eric,25,25,0,1.0,0.0
erik,53,53,1,1.0,0.018867924528301886
eriknaz,9,9,1,1.0,0.1111111111111111
erin,36,36,0,1.0,0.0
erisipoé,10,10,0,1.0,0.0
erispoé,14,14,0,1.0,0.0
eristal,28,28,0,1.0,0.0
erié,6,6,0,1.0,0.0
erlach,5,5,0,1.0,0.0
erland,34,34,0,1.0,0.0
erlemont,109,109,1,1.0,0.009174311926605505
erlich,74,74,0,1.0,0.0
erlon,27,27,0,1.0,0.0
erloor,62,62,0,1.0,0.0
erloors,54,54,0,1.0,0.0
ermak,8,8,0,1.0,0.0
erme,13,12,0,0.9230769230769231,0.0
ermel,72,72,1,1.0,0.013888888888888888
ermelin,7,7,0,1.0,0.0
ermeline,7,7,0,1.0,0.0
ermengarde,95,95,0,1.0,0.0
ermenil,17,17,0,1.0,0.0
ermenonville,71,71,0,1.0,0.0
erment,19,16,0,0.8421052631578947,0.0
ermilly,14,14,0,1.0,0.0
ermine,43,40,0,0.9302325581395349,0.0
ermingot,6,6,0,1.0,0.0
erminia,7,7,0,1.0,0.0
ermitage,679,190,0,0.27982326951399117,0.0
ermoise,5,5,0,1.0,0.0
ermolaï,69,69,0,1.0,0.0
ermold,9,9,3,1.0,0.3333333333333333
ermont,46,46,0,1.0,0.0
ernauton,402,402,0,1.0,0.0
erne,5,5,0,1.0,0.0
erneau,67,67,0,1.0,0.0
ernely,11,11,0,1.0,0.0
ernemont,23,23,0,1.0,0.0
ernest,1656,1656,14,1.0,0.008454106280193236
ernestine,863,863,1,1.0,0.0011587485515643105
erneville,16,16,0,1.0,0.0
ernoux,6,6,0,1.0,0.0
ernst,69,69,0,1.0,0.0
ernée,29,29,0,1.0,0.0
eros,9,9,0,1.0,0.0
erostrate,7,7,0,1.0,0.0
erqui,11,11,0,1.0,0.0
erquoy,113,113,1,1.0,0.008849557522123894
errant,1130,252,10,0.22300884955752212,0.008849557522123894
errare,9,7,0,0.7777777777777778,0.0
errart,105,105,2,1.0,0.01904761904761905
erribiague,16,16,0,1.0,0.0
errigal,7,7,0,1.0,0.0
errington,45,45,0,1.0,0.0
ersinger,8,8,0,1.0,0.0
erstein,43,43,0,1.0,0.0
ervan,31,31,0,1.0,0.0
ervasy,178,178,0,1.0,0.0
ervoan,183,183,0,1.0,0.0
ervy,31,31,0,1.0,0.0
erwin,16,16,0,1.0,0.0
eryx,5,5,0,1.0,0.0
erzeroum,9,9,0,1.0,0.0
erèbe,18,18,0,1.0,0.0
erèse,16,16,0,1.0,0.0
eréna,39,39,0,1.0,0.0
erôs,10,10,0,1.0,0.0
esaïas,13,13,0,1.0,0.0
esaü,26,26,0,1.0,0.0
esbat,34,34,0,1.0,0.0
esbly,23,23,0,1.0,0.0
esbrouffette,52,52,0,1.0,0.0
escajoul,8,8,0,1.0,0.0
escal,82,82,0,1.0,0.0
escalante,71,71,0,1.0,0.0
escaldas,264,264,0,1.0,0.0
escande,8,8,0,1.0,0.0
escaramujo,59,59,0,1.0,0.0
escarbas,7,7,0,1.0,0.0
escarbès,5,5,0,1.0,0.0
escargasse,277,277,0,1.0,0.0
escars,16,16,0,1.0,0.0
escaut,150,150,0,1.0,0.0
escavilla,38,38,0,1.0,0.0
eschivat,13,13,0,1.0,0.0
eschman,16,16,0,1.0,0.0
eschmoûn,25,25,0,1.0,0.0
eschyle,71,71,1,1.0,0.014084507042253521
esclapade,6,6,0,1.0,0.0
esclavonie,7,7,0,1.0,0.0
esclavons,46,43,0,0.9347826086956522,0.0
escobar,5,5,0,1.0,0.0
escorailles,72,72,2,1.0,0.027777777777777776
escorial,12,12,0,1.0,0.0
escorval,422,422,1,1.0,0.002369668246445498
escoublac,6,6,0,1.0,0.0
escoublau,12,12,0,1.0,0.0
escoubleau,5,5,0,1.0,0.0
escouffes,7,7,0,1.0,0.0
escousse,6,6,0,1.0,0.0
esculape,202,198,1,0.9801980198019802,0.0049504950495049506
escurial,77,77,0,1.0,0.0
esder,14,14,0,1.0,0.0
esdras,54,54,1,1.0,0.018518518518518517
esdrelon,15,15,0,1.0,0.0
esequiel,8,8,0,1.0,0.0
eserrato,5,5,0,1.0,0.0
esgrignon,263,263,0,1.0,0.0
esgrigny,11,11,0,1.0,0.0
eskeles,5,5,0,1.0,0.0
eski,10,8,0,0.8,0.0
esmeralda,80,80,0,1.0,0.0
esmond,37,37,0,1.0,0.0
esméralda,16,16,1,1.0,0.0625
esnandes,7,7,0,1.0,0.0
esnault,12,12,0,1.0,0.0
esnèh,15,15,0,1.0,0.0
eson,5,5,0,1.0,0.0
esope,16,16,0,1.0,0.0
esp,601,561,1,0.9334442595673876,0.0016638935108153079
espa,11,6,0,0.5454545454545454,0.0
espagnac,6,6,0,1.0,0.0
espagne,5588,5588,7,1.0,0.0012526843235504653
espagnes,127,127,0,1.0,0.0
espagnol,3696,1998,3,0.5405844155844156,0.0008116883116883117
espagnole,1567,525,3,0.33503509891512445,0.0019144862795149968
espagnolet,13,13,0,1.0,0.0
espagnols,2098,1578,4,0.7521448999046711,0.0019065776930409914
espaing,56,56,0,1.0,0.0
espalion,7,7,0,1.0,0.0
espalomba,7,7,0,1.0,0.0
espaly,6,6,0,1.0,0.0
espanet,34,34,0,1.0,0.0
esparbès,9,9,0,1.0,0.0
espard,412,412,0,1.0,0.0
espase,18,18,0,1.0,0.0
espayrac,205,205,0,1.0,0.0
espazettes,24,24,0,1.0,0.0
espelette,42,42,0,1.0,0.0
esperanza,9,8,0,0.8888888888888888,0.0
esperia,9,9,0,1.0,0.0
espeuven,100,100,0,1.0,0.0
espiens,9,9,0,1.0,0.0
espinasse,7,7,0,1.0,0.0
espinassous,12,12,0,1.0,0.0
espinosa,458,458,0,1.0,0.0
espinouse,14,14,0,1.0,0.0
espiritu,9,9,0,1.0,0.0
esplandian,13,13,0,1.0,0.0
espluchard,12,12,0,1.0,0.0
esposito,27,26,0,0.9629629629629629,0.0
espéranza,172,172,0,1.0,0.0
espérit,21,21,0,1.0,0.0
espérons,839,359,0,0.42789034564958284,0.0
esquermes,5,5,0,1.0,0.0
esquier,129,129,0,1.0,0.0
esquilin,12,12,0,1.0,0.0
esquimau,91,75,1,0.8241758241758241,0.01098901098901099
esquimaux,202,191,0,0.9455445544554455,0.0
esquirol,13,13,0,1.0,0.0
esquiros,12,12,0,1.0,0.0
esquissons,9,5,0,0.5555555555555556,0.0
essarts,52,48,0,0.9230769230769231,0.0
essarès,273,273,0,1.0,0.0
essayez,1072,381,0,0.355410447761194,0.0
essayons,556,262,0,0.4712230215827338,0.0
esseintes,208,208,0,1.0,0.0
esselbach,20,20,0,1.0,0.0
essen,54,52,2,0.9629629629629629,0.037037037037037035
essener,20,20,0,1.0,0.0
esserie,14,14,0,1.0,0.0
essex,30,30,0,1.0,0.0
essia,8,8,0,1.0,0.0
essigny,11,11,0,1.0,0.0
essil,66,66,0,1.0,0.0
essler,31,31,0,1.0,0.0
essling,19,19,0,1.0,0.0
essonne,17,17,0,1.0,0.0
essposition,19,5,0,0.2631578947368421,0.0
essuyez,64,23,0,0.359375,0.0
essé,118,115,0,0.9745762711864406,0.0
estables,7,7,0,1.0,0.0
establiments,5,5,0,1.0,0.0
estacade,91,20,0,0.21978021978021978,0.0
estafé,55,55,0,1.0,0.0
estaing,32,32,0,1.0,0.0
estang,13,11,0,0.8461538461538461,0.0
estanislasseu,6,6,0,1.0,0.0
estanzilla,16,16,0,1.0,0.0
estaque,8,8,0,1.0,0.0
estavayer,8,8,0,1.0,0.0
estavayé,21,21,0,1.0,0.0
este,176,161,0,0.9147727272727273,0.0
esteban,347,347,1,1.0,0.002881844380403458
estefania,7,7,0,1.0,0.0
estelle,757,756,3,0.9986789960369881,0.003963011889035667
estelleville,5,5,0,1.0,0.0
esterel,59,59,0,1.0,0.0
esterhazy,19,19,0,1.0,0.0
estero,10,9,0,0.9,0.0
estevan,264,264,0,1.0,0.0
esteven,8,8,0,1.0,0.0
esther,1281,1281,13,1.0,0.01014832162373146
esthonie,10,10,0,1.0,0.0
estibalet,25,25,0,1.0,0.0
estienne,9,9,0,1.0,0.0
estiennote,33,33,0,1.0,0.0
estiers,6,6,0,1.0,0.0
estissac,9,9,0,1.0,0.0
estivet,8,8,2,1.0,0.25
estocade,54,23,0,0.42592592592592593,0.0
estoile,17,17,0,1.0,0.0
estorade,46,46,0,1.0,0.0
estournelle,227,227,0,1.0,0.0
estourny,23,23,0,1.0,0.0
estourville,36,36,0,1.0,0.0
estouteville,31,31,0,1.0,0.0
estr,13,13,0,1.0,0.0
estrada,14,14,0,1.0,0.0
estramadure,75,75,0,1.0,0.0
estrapade,91,35,0,0.38461538461538464,0.0
estreicher,153,153,0,1.0,0.0
estrella,10,10,0,1.0,0.0
estrelles,43,43,0,1.0,0.0
estremoz,12,12,0,1.0,0.0
estrigny,23,23,0,1.0,0.0
estrolles,109,109,1,1.0,0.009174311926605505
estrée,5,5,0,1.0,0.0
estrées,215,215,12,1.0,0.05581395348837209
estèphe,5,5,0,1.0,0.0
estève,88,88,0,1.0,0.0
esté,20,5,0,0.25,0.0
estéphanie,6,6,0,1.0,0.0
estérac,150,150,0,1.0,0.0
estérel,16,16,0,1.0,0.0
estévan,346,346,1,1.0,0.002890173410404624
esus,5,5,0,1.0,0.0
esvella,6,6,0,1.0,0.0
etaient,111,31,1,0.27927927927927926,0.009009009009009009
etais,84,40,0,0.47619047619047616,0.0
