token_lower,total_count,initial_upper_count,all_upper_count,initial_upper_ratio,all_upper_ratio
acquedotto,13,13,0,1.0,0.0
acquin,16,16,0,1.0,0.0
acre,171,96,0,0.5614035087719298,0.0
acro,6,6,0,1.0,0.0
acropole,96,73,2,0.7604166666666666,0.020833333333333332
acropolis,9,9,0,1.0,0.0
act,19,6,0,0.3157894736842105,0.0
actium,23,23,0,1.0,0.0
acton,198,198,0,1.0,0.0
actual,5,5,5,1.0,1.0
acté,261,261,0,1.0,0.0
actéon,107,107,1,1.0,0.009345794392523364
acunha,56,56,0,1.0,0.0
acy,5,5,0,1.0,0.0
acérac,5,5,0,1.0,0.0
ada,414,414,2,1.0,0.004830917874396135
adair,16,16,0,1.0,0.0
adala,40,40,0,1.0,0.0
adalbert,352,352,3,1.0,0.008522727272727272
adam,898,898,5,1.0,0.005567928730512249
adamannus,7,7,0,1.0,0.0
adamanti,9,9,0,1.0,0.0
adamantius,5,5,0,1.0,0.0
adamas,346,346,0,1.0,0.0
adamastor,24,24,1,1.0,0.041666666666666664
adame,9,7,7,0.7777777777777778,0.7777777777777778
adamovna,21,21,0,1.0,0.0
adams,45,45,1,1.0,0.022222222222222223
adda,153,153,0,1.0,0.0
addar,5,5,0,1.0,0.0
addel,83,83,0,1.0,0.0
adderley,8,8,0,1.0,0.0
addhéma,29,29,1,1.0,0.034482758620689655
addick,74,74,0,1.0,0.0
addio,15,11,0,0.7333333333333333,0.0
addison,6,6,0,1.0,0.0
additional,20,5,0,0.25,0.0
addone,18,18,0,1.0,0.0
adelaïde,9,9,0,1.0,0.0
adelbert,11,11,0,1.0,0.0
adele,82,82,82,1.0,1.0
adeleine,5,5,5,1.0,1.0
adelina,120,120,0,1.0,0.0
adelinde,10,10,0,1.0,0.0
adeline,1345,1345,3,1.0,0.0022304832713754648
adelmonte,10,10,0,1.0,0.0
adelphi,8,8,0,1.0,0.0
adembrode,69,69,0,1.0,0.0
ademoiselle,9,8,8,0.8888888888888888,0.8888888888888888
aden,141,141,1,1.0,0.0070921985815602835
ader,19,19,0,1.0,0.0
adhémar,80,80,0,1.0,0.0
adhémars,15,15,0,1.0,0.0
adieu,14424,6813,18,0.47233777038269553,0.0012479201331114808
