token_lower,spacy_form,spacy_pos,spacy_lemma
adieu,Adieu,PROPN,Adieu
adige,Adige,PROPN,Adige
adima,Adima,PROPN,Adima
adine,Adine,PROPN,Adine
adinolfa,Adinolfa,PROPN,Adinolfa
adios,Adios,PROPN,Adios
aditi,Aditi,PROPN,Aditi
adj,Adj,PROPN,Adj
adjuda,Adjuda,PROPN,Adjuda
adjugé,Adjugé,PROPN,Adjugé
adler,Adler,PROPN,Adler
adley,Adley,PROPN,Adley
admettez,Admettez,PROPN,Admettez
admettons,Admettons,PROPN,Admettons
admète,Admète,PROPN,Admète
adoa,Adoa,PROPN,Adoa
adolphe,Adolphe,PROPN,Adolphe
adolphine,Adolphine,PROPN,Adolphine
adolphus,Adolphus,PROPN,Adolphus
adomo,Adomo,PROPN,Adomo
adonc,Adonc,PROPN,Adonc
adoncques,Adoncques,PROPN,Adoncques
adone,Adone,PROPN,Adone
adoniram,Adoniram,PROPN,Adoniram
adonis,Adonis,PROPN,Adonis
adorno,Adorno,PROPN,Adorno
adoua,Adoua,PROPN,Adoua
adoum,Adoum,PROPN,Adoum
adrani,Adrani,PROPN,Adrani
adrar,Adrar,PROPN,Adrar
adressez,Adressez,PROPN,Adressez
adriaensen,Adriaensen,PROPN,Adriaensen
adrian,Adrian,PROPN,Adrian
adriane,Adriane,PROPN,Adriane
adriani,Adriani,PROPN,Adriani
adriatique,Adriatique,PROPN,Adriatique
adrichomius,Adrichomius,PROPN,Adrichomius
adrien,Adrien,PROPN,Adrien
adrienne,Adrienne,PROPN,Adrienne
adrâni,Adrâni,PROPN,Adrâni
advanchier,Advanchier,PROPN,Advanchier
adélaïde,Adélaïde,PROPN,Adélaïde
adélie,Adélie,PROPN,Adélie
adélize,Adélize,PROPN,Adélize
adémar,Adémar,PROPN,Adémar
adéodat,Adéodat,PROPN,Adéodat
adéonne,Adéonne,PROPN,Adéonne
aegidius,Aegidius,PROPN,Aegidius
aennchen,Aennchen,PROPN,Aennchen
aerschoot,Aerschoot,PROPN,Aerschoot
aerschot,Aerschot,PROPN,Aerschot
af,Af,PROPN,Af
afanasi,Afanasi,PROPN,Afanasi
afareahitu,Afareahitu,PROPN,Afareahitu
afchin,Afchin,PROPN,Afchin
affinius,Affinius,PROPN,Affinius
affonso,Affonso,PROPN,Affonso
affre,Affre,PROPN,Affre
affrique,Affrique,PROPN,Affrique
affut,Affut,PROPN,Affut
affût,Affût,PROPN,Affût
