word,mean_semantic_displacement,max_semantic_displacement,n_transitions,mean_contextual_dispersion,max_contextual_dispersion,mean_occurrences,n_decades
républicain,0.03934946643571429,0.17960012,14,0.08913386166095731,0.1192987412214279,79.33333333333333,15
bourgeoisie,0.0169458985,0.08356011,14,0.10809210042158758,0.1629458367824554,85.46666666666667,15
industrie,0.010225939633333332,0.04511535,15,0.11860787402838464,0.1412446200847625,147.75,16
