word,global_frequency,pos,lemma,is_stopword,is_proper_noun_candidate,is_content_pos
lèvres,36451,NOUN,lèvre,False,False,True
feu,36274,NOUN,feu,False,False,True
entendre,36263,VERB,entendre,False,False,True
tandis,36193,ADV,tandis,False,False,True
grands,36085,ADJ,grand,False,False,True
face,35928,NOUN,face,False,False,True
lit,35719,NOUN,lit,False,False,True
venir,35678,VERB,venir,False,False,True
œil,35244,NOUN,œil,False,False,True
sang,35021,ADJ,sang,False,False,True
trouver,34874,VERB,trouver,False,False,True
autant,34854,ADV,autant,False,False,True
grâce,34772,NOUN,grâce,False,False,True
chemin,34714,NOUN,chemin,False,False,True
francs,34689,NOUN,franc,False,False,True
voulu,34564,VERB,vouloir,False,False,True
dernier,34510,ADJ,dernier,False,False,True
partie,34315,NOUN,partie,False,False,True
suite,34092,NOUN,suite,False,False,True
peur,33999,NOUN,peur,False,False,True
tard,33950,ADV,tard,False,False,True
vieille,33764,ADJ,vieux,False,False,True
droit,33651,NOUN,droit,False,False,True
ajouta,33366,VERB,ajouter,False,False,True
sœur,33358,NOUN,sœur,False,False,True
vite,33140,ADV,vite,False,False,True
soleil,33110,NOUN,soleil,False,False,True
docteur,32992,NOUN,docteur,False,False,True
honneur,32936,NOUN,honneur,False,False,True
murmura,32923,NOUN,murmura,False,False,True
capitaine,32863,NOUN,capitaine,False,False,True
demi,32751,NOUN,demi,False,False,True
garde,32636,NOUN,garde,False,False,True
fallait,32620,VERB,falloir,False,False,True
trouvait,32598,VERB,trouver,False,False,True
château,32444,NOUN,château,False,False,True
donné,32406,VERB,donner,False,False,True
savait,32289,VERB,savoir,False,False,True
front,32278,VERB,front,False,False,True
jeunes,32050,ADJ,jeune,False,False,True
chercher,31679,VERB,chercher,False,False,True
heureux,31673,ADJ,heureux,False,False,True
prince,31627,ADJ,princ,False,False,True
marquis,31519,ADJ,marqui,False,False,True
affaire,31492,NOUN,affaire,False,False,True
vois,31416,VERB,voir,False,False,True
mis,31281,VERB,mettre,False,False,True
demain,31278,ADV,demain,False,False,True
duc,31272,NOUN,duc,False,False,True
larmes,31132,NOUN,larme,False,False,True
rire,31059,NOUN,rire,False,False,True
cheval,31057,NOUN,cheval,False,False,True
état,30874,NOUN,état,False,False,True
savez,30825,VERB,savoir,False,False,True
nouvelle,30738,ADJ,nouveau,False,False,True
général,30674,ADJ,général,False,False,True
petits,30641,ADJ,petit,False,False,True
mouvement,30590,NOUN,mouvement,False,False,True
travers,30084,NOUN,travers,False,False,True
fin,30082,NOUN,fin,False,False,True
plaisir,30046,NOUN,plaisir,False,False,True
lendemain,29784,NOUN,lendemain,False,False,True
cause,29769,NOUN,cause,False,False,True
cour,29535,NOUN,cour,False,False,True
auprès,29415,ADV,auprès,False,False,True
hôtel,29383,NOUN,hôtel,False,False,True
vint,29309,VERB,venir,False,False,True
chère,29308,ADJ,cher,False,False,True
garçon,29119,NOUN,garçon,False,False,True
fortune,29106,NOUN,fortune,False,False,True
figure,29104,VERB,figurer,False,False,True
voiture,29096,NOUN,voiture,False,False,True
cheveux,28921,NOUN,cheveu,False,False,True
sens,28829,NOUN,sens,False,False,True
veut,28591,VERB,vouloir,False,False,True
voyait,28429,VERB,voir,False,False,True
tenait,28406,VERB,tenir,False,False,True
ordre,28194,NOUN,ordre,False,False,True
venu,28017,VERB,venir,False,False,True
croire,28006,VERB,croire,False,False,True
mariage,27923,NOUN,mariage,False,False,True
demander,27791,VERB,demander,False,False,True
entendu,27701,VERB,entendre,False,False,True
salle,27615,NOUN,salle,False,False,True
parole,27469,NOUN,parole,False,False,True
vient,27425,VERB,venir,False,False,True
vérité,27075,ADJ,vérité,False,False,True
demande,26920,VERB,demande,False,False,True
dernière,26391,ADJ,dernier,False,False,True
comtesse,25770,NOUN,comtesse,False,False,True
leva,25756,VERB,lever,False,False,True
salon,25688,NOUN,salon,False,False,True
compte,25672,NOUN,compte,False,False,True
fenêtre,25463,NOUN,fenêtre,False,False,True
minutes,25393,NOUN,minute,False,False,True
sûr,25382,ADJ,sûr,False,False,True
histoire,25362,NOUN,histoire,False,False,True
faites,25350,VERB,faire,False,False,True
bouche,25277,NOUN,bouche,False,False,True
calme,25164,ADJ,calme,False,False,True
pouvoir,25089,VERB,pouvoir,False,False,True
question,24969,NOUN,question,False,False,True
cri,24771,NOUN,cri,False,False,True
continua,24722,VERB,continuer,False,False,True
chef,24674,NOUN,chef,False,False,True
impossible,24645,ADJ,impossible,False,False,True
gros,24607,ADJ,gros,False,False,True
geste,24496,NOUN,geste,False,False,True
rouge,24309,VERB,rouge,False,False,True
terrible,24235,ADJ,terrible,False,False,True
perdu,24191,VERB,perdre,False,False,True
oncle,24134,NOUN,oncle,False,False,True
voyant,24008,VERB,voir,False,False,True
regarda,23896,VERB,regarder,False,False,True
baron,23704,NOUN,baron,False,False,True
dû,23680,VERB,devoir,False,False,True
arrêta,23575,VERB,arrêter,False,False,True
malheur,23483,ADJ,malheur,False,False,True
plein,23453,ADJ,plein,False,False,True
nature,23347,NOUN,nature,False,False,True
ombre,23275,NOUN,ombre,False,False,True
noir,23269,ADJ,noir,False,False,True
mourir,23257,VERB,mourir,False,False,True
cas,23241,NOUN,cas,False,False,True
entrer,22975,VERB,entrer,False,False,True
donne,22966,VERB,donne,False,False,True
sortir,22847,VERB,sortir,False,False,True
trouva,22836,VERB,trouver,False,False,True
