Rank,SGNS,PPMI/SVD
1,recouverte,yeux
2,lianes,faire
3,grappes,voix
4,tuiles,porte
5,mèches,main
6,touffes,regard
7,garnies,cheveux
8,poutres,francs
9,troncs,heures
10,senteurs,ans
