word,global_frequency
regarda,23896
baron,23704
dû,23680
arrêta,23575
malheur,23483
plein,23453
nature,23347
ombre,23275
noir,23269
mourir,23257
cas,23241
entrer,22975
donne,22966
afin,22926
sortir,22847
trouva,22836
jardin,22740
lumière,22669
longue,22638
présence,22611
malheureux,22596
parut,22570
blanche,22552
colère,22510
disant,22476
regardait,22467
triste,22459
froid,22436
reine,22417
âge,22409
vivre,22398
années,22369
travail,22346
semble,22293
moyen,22245
douleur,22231
trouvé,22220
mêmes,22083
put,22082
parti,22082
sentait,22080
tes,22062
pâle,22010
vraiment,21907
ouvrit,21764
viens,21756
signe,21709
malade,21676
répondre,21658
courage,21592
secret,21517
coups,21499
attendre,21444
petites,21405
foi,21403
pièce,21351
simple,21327
ensemble,21272
trouve,21254
souvenir,21207
vent,21167
voyage,21160
épaules,21050
filles,21045
bord,21036
aimait,21033
ensuite,20987
alla,20852
jeta,20722
retour,20696
fleurs,20654
maîtresse,20574
fais,20552
pourrait,20540
service,20471
attention,20466
blanc,20419
droite,20416
aura,20409
partir,20400
devoir,20360
attendait,20359
passa,20356
telle,20312
coin,20299
juste,20292
dehors,20218
rose,20209
parle,20163
contraire,20143
diable,20143
donnait,20094
émotion,20083
arrivé,20064
faisant,19974
hasard,19969
tomber,19858
don,19786
passait,19761
gauche,19701
vis,19701
mauvais,19665
foule,19634
abbé,19633
ait,19600
tiens,19577
vivement,19536
paraissait,19498
manière,19450
parlait,19443
surprise,19405
messieurs,19362
français,19333
seconde,19266
étant,19251
affaires,19222
hier,19205
fer,19191
journée,19164
tel,19127
poitrine,19103
chevaux,19092
guerre,19087
chevalier,19063
présent,19030
heureuse,18956
guère,18946
restait,18906
parfois,18837
riche,18825
escalier,18822
comprendre,18810
veille,18801
départ,18801
combien,18798
dîner,18750
étrange,18717
quitter,18689
debout,18662
quelqu,18654
oreille,18544
certain,18505
nouvelles,18495
grandes,18487
arriver,18480
doucement,18411
midi,18375
entra,18337
sentiment,18332
laissa,18331
église,18328
sortit,18317
répliqua,18296
marche,18248
dois,18237
autrefois,18229
henri,18224
faite,18219
propre,18172
existence,18158
connais,18114
situation,18014
brave,17967
brusquement,17952
arrivée,17899
beauté,17896
haute,17863
passe,17816
jolie,17795
lettres,17787
tenir,17760
perdre,17748
suivre,17736
arbres,17721
fini,17688
laissé,17678
idées,17621
sombre,17617
rester,17596
genoux,17561
entrée,17530
confiance,17527
seigneur,17512
intérêt,17381
voulut,17368
connaître,17351
portait,17349
amie,17330
robe,17299
maman,17235
vieillard,17196
volonté,17186
parlé,17180
partout,17150
large,17138
tante,17096
douce,17069
font,17013
libre,17002
chapitre,16980
pense,16972
anglais,16943
sujet,16913
aimer,16903
pitié,16900
cria,16873
paraît,16832
doux,16832
voyons,16783
croyez,16702
avenir,16693
vive,16689
pleine,16679
endroit,16584
expression,16571
jeanne,16562
désir,16536
tranquille,16529
forme,16487
charles,16485
ferme,16438
celles,16417
scène,16388
prix,16376
lentement,16314
papier,16285
hélas,16274
passage,16269
regards,16258
regarder,16252
but,16195
visite,16047
pauvres,16040
justice,16006
caractère,15945
sept,15940
armes,15910
beaux,15906
conversation,15822
moitié,15820
cents,15819
hors,15812
porter,15795
train,15753
habitude,15706
appelle,15698
réponse,15695
venue,15689
venez,15682
liberté,15661
danger,15661
voit,15630
fou,15613
crime,15571
conscience,15543
regardant,15538
village,15515
laisse,15500
faisaient,15457
passion,15445
reçu,15445
sort,15425
sainte,15421
interrompit,15376
campagne,15368
basse,15357
cou,15342
manger,15337
cris,15309
paul,15308
davantage,15290
marquise,15281
cru,15274
espoir,15249
princesse,15222
croyait,15216
certainement,15202
aperçut,15120
grave,15113
uns,15110
exemple,15069
rêve,15041
propos,14961
jambes,14951
chapeau,14936
nez,14909
occasion,14869
donna,14856
assis,14850
livres,14837
palais,14835
moindre,14815
serai,14814
personnes,14808
médecin,14796
revint,14791
quinze,14791
connaissait,14763
trente,14738
arriva,14736
arrive,14733
revenir,14733
doigts,14725
resta,14706
police,14702
selon,14690
arrière,14675
faute,14662
ceci,14656
ouvrir,14654
juge,14602
peux,14585
année,14573
quelquefois,14560
monseigneur,14538
premiers,14473
jeunesse,14470
peuple,14453
merci,14445
duchesse,14432
adieu,14424
prenait,14418
ancien,14402
morte,14389
immense,14338
soldats,14332
digne,14329
somme,14317
penser,14316
nombre,14311
compris,14310
comprends,14283
pensait,14272
vin,14271
serais,14250
bête,14193
servir,14161
espèce,14149
entendit,14116
profonde,14113
dos,14113
aimé,14110
parents,14085
courant,14084
importe,14068
cours,14057
soudain,14046
traits,14032
sol,14029
pont,14025
pouvez,14006
noble,14004
chien,13991
dents,13977
neuf,13940
mesure,13936
belles,13919
sommeil,13908
véritable,13905
revoir,13867
compagnie,13862
envie,13850
cabinet,13843
officier,13835
noire,13825
mur,13813
recevoir,13811
robert,13799
voudrais,13796
simplement,13792
répéta,13775
taille,13771
souriant,13730
œuvre,13720
mauvaise,13706
arrêter,13679
empêcher,13674
soin,13642
parfaitement,13615
livre,13603
amitié,13558
dames,13477
misérable,13452
époque,13434
quoique,13413
riant,13395
armée,13375
absolument,13372
curé,13367
jusque,13335
laissait,13331
ouverte,13330
désespoir,13315
regarde,13286
pain,13229
auquel,13226
difficile,13206
société,13195
jeter,13186
prie,13168
colonel,13154
paix,13153
ennemi,13134
noirs,13109
ordres,13095
pensées,13087
fauteuil,13052
profond,12998
jeu,12962
sentit,12942
minute,12937
appelait,12921
lire,12916
forte,12912
georges,12897
appris,12881
facile,12875
crainte,12871
jouer,12862
aide,12840
tendresse,12839
certaine,12836
pardon,12831
forces,12798
connu,12770
demandait,12724
goût,12709
tuer,12705
monter,12696
devenu,12680
reconnaître,12678
portes,12677
certes,12673
bons,12669
écrit,12667
marguerite,12667
physionomie,12633
poche,12597
maisons,12586
entendait,12574
intérieur,12572
miss,12570
venaient,12533
avance,12509
forêt,12499
tenez,12492
conseil,12472
pensa,12467
avis,12457
madeleine,12430
second,12427
cinquante,12404
soyez,12403
effort,12401
apprendre,12393
sir,12382
arrivait,12371
montrer,12349
bonnes,12324
sauver,12281
prise,12268
seuls,12259
appartement,12253
devenir,12194
tantôt,12149
ordinaire,12141
maurice,12121
sentiments,12119
honnête,12110
retrouver,12102
instants,12099
épée,12090
aurai,12084
derniers,12061
espère,12060
accent,12057
prison,12020
longues,12015
rôle,12002
françois,12001
pût,11998
bleu,11992
troisième,11967
rencontre,11964
fête,11962
échapper,11957
vouloir,11947
haine,11941
position,11921
fenêtres,11920
faible,11905
épaule,11905
léger,11897
commençait,11887
inutile,11878
orgueil,11872
inconnu,11870
folle,11868
prêtre,11859
vide,11858
secours,11851
curiosité,11849
écrire,11831
murs,11823
agit,11818
tort,11801
suivant,11797
chagrin,11785
succès,11756
philippe,11748
poussa,11747
oreilles,11726
cousin,11724
laissez,11723
demeure,11711
tirer,11705
dessous,11685
court,11676
santé,11664
inquiétude,11651
attendant,11650
devint,11648
pareille,11643
mémoire,11608
connaissance,11565
laissant,11537
vas,11534
prenant,11517
conduire,11512
adresse,11510
verre,11461
oublié,11459
coucher,11454
garder,11437
pareil,11429
affection,11427
respect,11399
surpris,11364
chasse,11355
tendre,11346
conduite,11343
honte,11341
demandé,11337
repos,11319
domestique,11303
déjeuner,11298
étions,11296
passant,11291
allaient,11278
commença,11271
seuil,11261
distance,11247
théâtre,11241
courir,11241
souvenirs,11236
prêt,11227
rapidement,11195
poste,11174
quitté,11164
puisse,11111
étranger,11107
intelligence,11106
île,11105
clair,11101
bureau,11101
gagner,11100
tomba,11074
parlez,11062
éclat,11059
vont,11058
amant,11017
tôt,11015
soins,11008
entière,11000
côte,10981
su,10974
champ,10969
cacher,10963
pouvaient,10947
immobile,10945
majesté,10929
joues,10925
malheureuse,10921
suivi,10914
rapide,10872
nécessaire,10862
langue,10859
hiver,10853
chaise,10838
croix,10838
compagnons,10835
toilette,10823
lune,10809
michel,10785
peau,10773
gris,10761
tristesse,10750
art,10741
fera,10741
spectacle,10732
nul,10713
pièces,10696
coupable,10692
tourna,10677
couleur,10676
musique,10667
joli,10657
horreur,10642
cherchait,10637
amoureux,10634
eussent,10628
sérieux,10595
charmante,10594
andré,10576
jeté,10570
terreur,10562
soirée,10553
récit,10530
ferait,10517
objet,10488
approcha,10485
aviez,10479
double,10468
rendez,10443
quarante,10435
cesse,10419
impression,10403
faits,10399
catherine,10381
crut,10376
savais,10375
oublier,10369
absence,10342
sire,10337
lutte,10331
complètement,10327
aspect,10327
mettait,10324
désormais,10317
rendu,10311
marcher,10306
humeur,10286
voulais,10282
frères,10276
grosse,10275
pouvais,10267
descendre,10251
veuve,10236
an,10231
firent,10214
soldat,10213
tombe,10208
chargé,10198
lord,10191
preuve,10189
promis,10186
saisit,10179
peuvent,10175
faudrait,10168
comprit,10115
certains,10083
tué,10082
détails,10078
vaut,10077
ferai,10077
retourna,10068
rentrer,10060
étonnement,10056
paraître,10040
louise,10038
capable,10014
faim,10012
appeler,9987
lors,9987
ligne,9986
sois,9979
fièvre,9963
ennemis,9961
payer,9942
quart,9927
avions,9927
expliquer,9921
vaste,9919
douze,9918
valet,9917
compagnon,9906
aimée,9906
semblaient,9905
parlant,9895
cousine,9877
reprendre,9867
douceur,9860
asseoir,9856
lever,9798
soi,9787
questions,9778
loi,9773
champs,9766
repas,9731
devaient,9730
rues,9721
souffrir,9696
côtés,9683
défendre,9655
rivière,9614
naturellement,9605
morts,9593
lueur,9593
claire,9584
premières,9570
reconnaissance,9543
costume,9543
hâte,9542
horrible,9542
lieutenant,9541
auraient,9539
frais,9521
outre,9515
disparu,9496
tellement,9490
cercle,9489
faux,9478
frappé,9475
bataille,9453
compter,9442
écoute,9439
rouges,9438
café,9428
causer,9425
aise,9421
blessé,9408
heureusement,9394
folie,9377
impatience,9375
direction,9370
misère,9358
prenez,9355
allée,9347
montra,9342
énorme,9320
justement,9313
pluie,9304
intention,9303
salut,9288
levant,9281
puissance,9279
voie,9273
promenade,9271
ministre,9264
doigt,9244
curieux,9244
mine,9243
lesquels,9233
empereur,9232
genre,9230
profondément,9229
mise,9225
tournant,9217
rejoindre,9204
suivit,9194
aimable,9191
apercevoir,9186
aventure,9180
quartier,9178
vague,9177
remettre,9177
pointe,9166
boire,9159
vicomte,9156
entends,9153
tira,9152
devenait,9144
resté,9128
attitude,9120
jadis,9076
blancs,9071
longs,9062
imagination,9061
espérance,9053
moyens,9052
rage,9048
envers,9036
cheminée,9030
rendait,9013
fatigue,9010
siècle,9001
poursuivit,9001
faudra,9001
retourner,8990
autrement,8980
gorge,8975
gloire,8973
soupir,8969
serez,8969
prend,8949
descendit,8943
hauteur,8935
montrait,8924
souffle,8921
croyais,8915
baiser,8913
aurez,8910
angoisse,8905
horizon,8883
écoutait,8881
apparence,8844
étiez,8837
feuilles,8835
admiration,8827
évidemment,8822
camarades,8811
fleur,8810
action,8794
extraordinaire,8792
légèrement,8791
jure,8778
connaissez,8771
meilleur,8770
tendit,8768
parc,8755
portant,8745
vivant,8725
semaine,8724
sauvage,8719
époux,8718
ouvert,8717
continuait,8714
arrêté,8709
décidé,8679
charge,8674
songeait,8672
efforts,8669
public,8665
courut,8658
précisément,8647
charme,8646
monta,8645
rendit,8641
marché,8633
pensé,8633
logis,8630
rencontrer,8630
tient,8625
pleurer,8617
créature,8612
retraite,8609
personnage,8607
mystère,8597
papa,8597
durant,8594
certaines,8593
événements,8582
unique,8578
arbre,8566
roses,8564
reconnu,8562
trouble,8561
répondait,8556
remit,8553
victime,8542
sourit,8528
notaire,8519
bonté,8512
drôle,8511
auparavant,8500
dernières,8499
coeur,8498
seront,8480
sortie,8480
voile,8479
proie,8479
thérèse,8478
naturel,8476
vengeance,8465
politique,8458
plaît,8457
phrase,8444
vif,8444
moments,8440
çà,8437
barbe,8434
réalité,8418
eaux,8412
hélène,8411
image,8408
acte,8405
devenue,8399
fusil,8393
allais,8393
président,8387
fus,8383
circonstances,8379
titre,8378
gentilhomme,8367
trouvaient,8363
montagne,8354
sembla,8347
pensez,8341
repris,8341
charmant,8334
baronne,8333
bêtes,8330
solitude,8330
commandant,8326
résolution,8324
répondu,8322
également,8311
marchait,8304
artiste,8295
prends,8292
semaines,8288
avança,8287
lignes,8287
dévouement,8286
manque,8279
épouser,8272
nord,8269
clef,8264
chair,8263
connaît,8261
montre,8260
neige,8260
volontiers,8241
enfance,8240
revenait,8237
faveur,8231
joue,8226
étage,8213
assit,8201
voisine,8196
portrait,8193
plan,8189
donnant,8188
disais,8180
permis,8180
école,8160
obligé,8159
marthe,8159
cuisine,8155
joseph,8152
pardaillan,8149
couvent,8143
écouter,8142
vertu,8136
pierres,8132
lucien,8124
ange,8124
légère,8121
sûre,8111
course,8107
léon,8104
craindre,8102
partit,8096
maladie,8093
voisin,8090
race,8088
assise,8088
suivait,8088
satisfaction,8086
quels,8081
opinion,8074
énergie,8073
soie,8059
manteau,8050
e,8041
chance,8029
affreux,8028
obtenir,8026
journal,8021
quelles,8020
changé,8015
prière,8013
dimanche,8012
sentir,8004
suprême,8001
bourgeois,8001
cardinal,7992
êtres,7987
importance,7981
humaine,7979
finit,7973
battre,7972
chaleur,7967
maîtres,7958
demeura,7954
magnifique,7924
occuper,7920
blanches,7912
usage,7910
environ,7902
membres,7898
tranquillement,7898
fuir,7896
cerveau,7885
projet,7884
mystérieux,7883
égard,7881
fidèle,7881
reconnut,7879
conduit,7878
raisons,7874
probablement,7865
commis,7864
étonné,7862
vain,7849
projets,7845
dirai,7835
entier,7832
combat,7826
billet,7810
frappa,7800
couvert,7795
mépris,7787
fier,7777
froide,7777
influence,7770
seraient,7752
papiers,7747
nouveaux,7743
revenu,7741
chiens,7741
vert,7736
dormir,7730
frapper,7717
faiblesse,7714
bal,7713
métier,7710
eus,7704
rocambole,7699
génie,7685
immédiatement,7665
vêtements,7664
entretien,7655
extrême,7649
prisonnier,7646
montait,7646
dedans,7643
assurer,7639
ouvrage,7638
toutefois,7637
cocher,7630
troupe,7626
semblable,7611
prétexte,7610
ménage,7609
groupe,7600
